EXPLAIN_REQUESTER,EXPLAIN_TIME,SOURCE_NAME,SOURCE_SCHEMA,SOURCE_VERSION,EXPLAIN_LEVEL,STMTNO,SECTNO,OPERATOR_ID,DBPARTITIONNUM,PREDICATE_ID,HOW_APPLIED,ACTUAL_TYPE,ACTUAL_VALUE
SHAIKHQ ,2024-05-30-08.16.30.336768,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+6.00000000000000E+001
SHAIKHQ ,2024-05-30-08.16.30.336768,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.30.336768,SQLC2Q31,NULLID  ,,S,1,201,6,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.32.104983,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+3.30000000000000E+001
SHAIKHQ ,2024-05-30-08.16.32.104983,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+3.30000000000000E+001
SHAIKHQ ,2024-05-30-08.16.32.104983,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+5.00000000000000E+001
SHAIKHQ ,2024-05-30-08.16.32.104983,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+6.60000000000000E-001
SHAIKHQ ,2024-05-30-08.16.32.104983,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.33.457497,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+4.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.33.457497,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+4.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.33.457497,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+4.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.33.457497,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+7.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.33.457497,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,
SHAIKHQ ,2024-05-30-08.16.33.457497,SQLC2Q31,NULLID  ,,S,1,201,6,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.41.437067,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+5.16620000000000E+005
SHAIKHQ ,2024-05-30-08.16.41.437067,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+5.16620000000000E+005
SHAIKHQ ,2024-05-30-08.16.41.437067,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+5.17257000000000E+005
SHAIKHQ ,2024-05-30-08.16.41.437067,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+7.30490000000000E+004
SHAIKHQ ,2024-05-30-08.16.46.605880,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+2.87483000000000E+005
SHAIKHQ ,2024-05-30-08.16.46.605880,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+2.87483000000000E+005
SHAIKHQ ,2024-05-30-08.16.46.605880,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+2.87503000000000E+005
SHAIKHQ ,2024-05-30-08.16.46.605880,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+7.30490000000000E+004
SHAIKHQ ,2024-05-30-08.16.47.808299,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+2.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.47.808299,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+2.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.47.808299,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+3.90000000000000E+001
SHAIKHQ ,2024-05-30-08.16.47.808299,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+5.12820512820513E-002
SHAIKHQ ,2024-05-30-08.16.47.808299,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.48.945099,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+8.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.48.945099,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+8.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.48.945099,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+1.00000000000000E+001
SHAIKHQ ,2024-05-30-08.16.48.945099,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+3.00000000000000E+001
SHAIKHQ ,2024-05-30-08.16.48.945099,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,+8.00000000000000E-001
SHAIKHQ ,2024-05-30-08.16.48.945099,SQLC2Q31,NULLID  ,,S,1,201,6,0,,,CARDINALITY,+8.00000000000000E-001
SHAIKHQ ,2024-05-30-08.16.50.151134,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+2.10000000000000E+001
SHAIKHQ ,2024-05-30-08.16.50.151134,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+2.10000000000000E+001
SHAIKHQ ,2024-05-30-08.16.50.151134,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+2.10000000000000E+001
SHAIKHQ ,2024-05-30-08.16.50.151134,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+6.00000000000000E+001
SHAIKHQ ,2024-05-30-08.16.50.151134,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.50.151134,SQLC2Q31,NULLID  ,,S,1,201,6,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.51.240800,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+3.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.51.240800,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+3.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.51.240800,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+1.20000000000000E+001
SHAIKHQ ,2024-05-30-08.16.51.240800,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+1.20000000000000E+001
SHAIKHQ ,2024-05-30-08.16.51.240800,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,+2.50000000000000E-001
SHAIKHQ ,2024-05-30-08.16.51.240800,SQLC2Q31,NULLID  ,,S,1,201,6,0,,,CARDINALITY,+2.50000000000000E-001
SHAIKHQ ,2024-05-30-08.16.52.283196,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+2.00000000000000E+001
SHAIKHQ ,2024-05-30-08.16.52.283196,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+2.00000000000000E+001
SHAIKHQ ,2024-05-30-08.16.52.283196,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+2.00000000000000E+001
SHAIKHQ ,2024-05-30-08.16.52.283196,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.52.283196,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.04.144981,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+8.37837000000000E+005
SHAIKHQ ,2024-05-30-08.17.04.144981,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+8.37837000000000E+005
SHAIKHQ ,2024-05-30-08.17.04.144981,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+8.38856000000000E+005
SHAIKHQ ,2024-05-30-08.17.04.144981,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+7.30490000000000E+004
SHAIKHQ ,2024-05-30-08.17.05.609356,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+2.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.05.609356,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+2.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.05.609356,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+2.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.05.609356,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.05.609356,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.07.664614,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+5.59780000000000E+004
SHAIKHQ ,2024-05-30-08.17.07.664614,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+5.59780000000000E+004
SHAIKHQ ,2024-05-30-08.17.07.664614,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+7.30490000000000E+004
SHAIKHQ ,2024-05-30-08.17.07.664614,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+5.59900000000000E+004
SHAIKHQ ,2024-05-30-08.17.07.664614,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,+5.59900000000000E+004
SHAIKHQ ,2024-05-30-08.17.07.664614,SQLC2Q31,NULLID  ,,S,1,201,6,0,,,CARDINALITY,+5.59900000000000E+004
SHAIKHQ ,2024-05-30-08.17.07.664614,SQLC2Q31,NULLID  ,,S,1,201,7,0,,,CARDINALITY,+5.59900000000000E+004
SHAIKHQ ,2024-05-30-08.17.08.944737,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+1.40000000000000E+001
SHAIKHQ ,2024-05-30-08.17.08.944737,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+1.40000000000000E+001
SHAIKHQ ,2024-05-30-08.17.08.944737,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+1.40000000000000E+001
SHAIKHQ ,2024-05-30-08.17.08.944737,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.08.944737,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.10.095768,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+8.69000000000000E+002
SHAIKHQ ,2024-05-30-08.17.10.095768,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+8.69000000000000E+002
SHAIKHQ ,2024-05-30-08.17.10.095768,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+8.79000000000000E+002
SHAIKHQ ,2024-05-30-08.17.10.095768,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+9.88623435722412E-001
SHAIKHQ ,2024-05-30-08.17.11.240888,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+5.80000000000000E+001
SHAIKHQ ,2024-05-30-08.17.11.240888,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+5.80000000000000E+001
SHAIKHQ ,2024-05-30-08.17.11.240888,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+5.80000000000000E+001
SHAIKHQ ,2024-05-30-08.17.11.240888,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.11.240888,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.12.442296,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.12.442296,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.12.442296,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+2.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.12.442296,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+5.00000000000000E-001
SHAIKHQ ,2024-05-30-08.17.12.442296,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,+5.00000000000000E-001
SHAIKHQ ,2024-05-30-08.17.13.777854,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+5.30000000000000E+001
SHAIKHQ ,2024-05-30-08.17.13.777854,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+5.30000000000000E+001
SHAIKHQ ,2024-05-30-08.17.13.777854,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+7.90000000000000E+001
SHAIKHQ ,2024-05-30-08.17.13.777854,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+6.70886075949367E-001
SHAIKHQ ,2024-05-30-08.17.13.777854,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.14.922733,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+5.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.14.922733,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+5.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.14.922733,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+5.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.14.922733,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+3.00000000000000E+001
SHAIKHQ ,2024-05-30-08.17.14.922733,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,
SHAIKHQ ,2024-05-30-08.17.14.922733,SQLC2Q31,NULLID  ,,S,1,201,6,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.19.736953,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+2.52358000000000E+005
SHAIKHQ ,2024-05-30-08.17.19.736953,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+2.52358000000000E+005
SHAIKHQ ,2024-05-30-08.17.19.736953,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+2.52678000000000E+005
SHAIKHQ ,2024-05-30-08.17.19.736953,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+7.30490000000000E+004
SHAIKHQ ,2024-05-30-08.17.21.110711,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+3.45000000000000E+002
SHAIKHQ ,2024-05-30-08.17.21.110711,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+3.45000000000000E+002
SHAIKHQ ,2024-05-30-08.17.21.110711,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+3.45000000000000E+002
SHAIKHQ ,2024-05-30-08.17.21.110711,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.29.908317,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+6.01520000000000E+005
SHAIKHQ ,2024-05-30-08.17.29.908317,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+6.01520000000000E+005
SHAIKHQ ,2024-05-30-08.17.29.908317,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+6.01520000000000E+005
SHAIKHQ ,2024-05-30-08.17.29.908317,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+6.53600000000000E+004
SHAIKHQ ,2024-05-30-08.17.31.018345,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+1.10000000000000E+001
SHAIKHQ ,2024-05-30-08.17.31.018345,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+1.10000000000000E+001
SHAIKHQ ,2024-05-30-08.17.31.018345,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+1.50000000000000E+001
SHAIKHQ ,2024-05-30-08.17.31.018345,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+1.50000000000000E+001
SHAIKHQ ,2024-05-30-08.17.31.018345,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,+1.50000000000000E+001
SHAIKHQ ,2024-05-30-08.17.31.018345,SQLC2Q31,NULLID  ,,S,1,201,6,0,,,CARDINALITY,+3.00000000000000E+001
SHAIKHQ ,2024-05-30-08.17.31.018345,SQLC2Q31,NULLID  ,,S,1,201,7,0,,,CARDINALITY,+7.33333333333333E-001
SHAIKHQ ,2024-05-30-08.17.31.018345,SQLC2Q31,NULLID  ,,S,1,201,8,0,,,CARDINALITY,+7.33333333333333E-001
SHAIKHQ ,2024-05-30-08.17.32.119984,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+3.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.32.119984,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+3.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.32.119984,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+1.20000000000000E+001
SHAIKHQ ,2024-05-30-08.17.32.119984,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+1.20000000000000E+001
SHAIKHQ ,2024-05-30-08.17.32.119984,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,+2.50000000000000E-001
SHAIKHQ ,2024-05-30-08.17.32.119984,SQLC2Q31,NULLID  ,,S,1,201,6,0,,,CARDINALITY,+2.50000000000000E-001
SHAIKHQ ,2024-05-30-08.17.33.366326,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+7.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.33.366326,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+7.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.33.366326,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+7.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.33.366326,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.33.366326,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.34.551617,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+3.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.34.551617,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+3.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.34.551617,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+3.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.34.551617,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+3.00000000000000E+001
SHAIKHQ ,2024-05-30-08.17.34.551617,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,
SHAIKHQ ,2024-05-30-08.17.34.551617,SQLC2Q31,NULLID  ,,S,1,201,6,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.35.761798,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+1.60000000000000E+001
SHAIKHQ ,2024-05-30-08.17.35.761798,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+1.60000000000000E+001
SHAIKHQ ,2024-05-30-08.17.35.761798,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+1.60000000000000E+001
SHAIKHQ ,2024-05-30-08.17.35.761798,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+6.00000000000000E+001
SHAIKHQ ,2024-05-30-08.17.35.761798,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.35.761798,SQLC2Q31,NULLID  ,,S,1,201,6,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.37.069924,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+5.10000000000000E+001
SHAIKHQ ,2024-05-30-08.17.37.069924,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+5.10000000000000E+001
SHAIKHQ ,2024-05-30-08.17.37.069924,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+5.10000000000000E+001
SHAIKHQ ,2024-05-30-08.17.37.069924,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+5.10000000000000E+001
SHAIKHQ ,2024-05-30-08.17.37.069924,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.37.069924,SQLC2Q31,NULLID  ,,S,1,201,6,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.38.276607,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.38.276607,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.17.38.276607,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+1.20000000000000E+001
SHAIKHQ ,2024-05-30-08.17.38.276607,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+1.20000000000000E+001
SHAIKHQ ,2024-05-30-08.17.38.276607,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,+8.33333333333333E-002
