EXPLAIN_REQUESTER,EXPLAIN_TIME,SOURCE_NAME,SOURCE_SCHEMA,SOURCE_VERSION,EXPLAIN_LEVEL,STMTNO,SECTNO,OPERATOR_ID,PREDICATE_ID,HOW_APPLIED,WHEN_EVALUATED,RELOP_TYPE,SUBQUERY,FILTER_FACTOR,PREDICATE_TEXT,RANGE_NUM,INDEX_COLSEQ,FF_SOURCE_SCHEMA,FF_SOURCE_NAME,FF_SOURCE_TYPE
SHAIKHQ ,2024-05-30-08.16.25.771665,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.00000000000000E+000,(Q1.CP_END_DATE_SK = Q2.D_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.16.25.771665,SQLC2Q31,NULLID  ,,S,1,201,3,5,SARG      ,   ,LE,N,+8.88848125934601E-001,(Q2.D_LAST_DOM <= 2481252),,255,,,
SHAIKHQ ,2024-05-30-08.16.25.771665,SQLC2Q31,NULLID  ,,S,1,201,4,3,START     ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = 2451449),,1,,,
SHAIKHQ ,2024-05-30-08.16.25.771665,SQLC2Q31,NULLID  ,,S,1,201,4,3,STOP      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = 2451449),,1,,,
SHAIKHQ ,2024-05-30-08.16.25.771665,SQLC2Q31,NULLID  ,,S,1,201,5,2,SARG      ,   ,EQ,N,+1.00000000000000E+000,(Q1.CP_END_DATE_SK = Q2.D_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.16.26.997895,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.CP_END_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.16.26.997895,SQLC2Q31,NULLID  ,,S,1,201,4,3,SARG      ,   ,EQ,N,+8.29990804195404E-002,(Q2.D_MOY = 9),,255,,,
SHAIKHQ ,2024-05-30-08.16.26.997895,SQLC2Q31,NULLID  ,,S,1,201,4,4,SARG      ,   ,LE,N,+9.83847439289093E-001,(2414713 <= Q2.D_SAME_DAY_LY),,255,,,
SHAIKHQ ,2024-05-30-08.16.29.218127,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.CS_SHIP_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.16.29.218127,SQLC2Q31,NULLID  ,,S,1,201,4,3,SARG      ,   ,LE,N,+3.20529900491238E-002,(Q1.CS_EXT_SALES_PRICE <= +00045.36),,255,,,
SHAIKHQ ,2024-05-30-08.16.29.218127,SQLC2Q31,NULLID  ,,S,1,201,4,4,SARG      ,   ,LE,N,+3.65158110857010E-001,(Q1.CS_PROMO_SK <= 109),,255,,,
SHAIKHQ ,2024-05-30-08.16.30.336768,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.WP_ACCESS_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.16.30.336768,SQLC2Q31,NULLID  ,,S,1,201,5,3,SARG      ,   ,LE,N,+5.83104848861694E-001,(Q2.D_QUARTER_SEQ <= 481),,255,,,
SHAIKHQ ,2024-05-30-08.16.30.336768,SQLC2Q31,NULLID  ,,S,1,201,5,4,SARG      ,   ,LE,N,+7.98452794551849E-001,(2240 <= Q2.D_WEEK_SEQ),,255,,,
SHAIKHQ ,2024-05-30-08.16.30.336768,SQLC2Q31,NULLID  ,,S,1,201,6,2,START     ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.WP_ACCESS_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.16.30.336768,SQLC2Q31,NULLID  ,,S,1,201,6,2,STOP      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.WP_ACCESS_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.16.32.104983,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.WS_SHIP_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.16.32.104983,SQLC2Q31,NULLID  ,,S,1,201,3,3,SARG      ,   ,LE,N,+5.41946019438910E-006,(+12544.30 <= Q1.WS_EXT_SHIP_COST),,255,,,
SHAIKHQ ,2024-05-30-08.16.32.104983,SQLC2Q31,NULLID  ,,S,1,201,4,4,SARG      ,   ,LE,N,+5.21499276161194E-001,(Q2.D_QOY <= 2),,255,,,
SHAIKHQ ,2024-05-30-08.16.32.104983,SQLC2Q31,NULLID  ,,S,1,201,5,2,START     ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.WS_SHIP_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.16.32.104983,SQLC2Q31,NULLID  ,,S,1,201,5,2,STOP      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.WS_SHIP_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.16.33.457497,SQLC2Q31,NULLID  ,,S,1,201,2,3,JOIN      ,   ,EQ,N,+2.66288643615553E-005,(Q2.D_DATE_SK = Q1.WP_ACCESS_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.16.33.457497,SQLC2Q31,NULLID  ,,S,1,201,3,5,SARG      ,   ,LE,N,+1.83333337306976E-001,(Q1.WP_ACCESS_DATE_SK <= 2452574),,255,,,
SHAIKHQ ,2024-05-30-08.16.33.457497,SQLC2Q31,NULLID  ,,S,1,201,4,4,START     ,   ,LE,N,+1.16666667163372E-001,(54 <= Q1.WP_WEB_PAGE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.16.33.457497,SQLC2Q31,NULLID  ,,S,1,201,6,3,START     ,   ,EQ,N,+2.66288643615553E-005,(Q2.D_DATE_SK = Q1.WP_ACCESS_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.16.33.457497,SQLC2Q31,NULLID  ,,S,1,201,6,2,SARG      ,   ,LE,N,+5.14082789421082E-001,(Q2.D_DATE_SK <= 2452574),,255,,,
SHAIKHQ ,2024-05-30-08.16.33.457497,SQLC2Q31,NULLID  ,,S,1,201,6,3,STOP      ,   ,EQ,N,+2.66288643615553E-005,(Q2.D_DATE_SK = Q1.WP_ACCESS_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.16.41.437067,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.CS_SHIP_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.16.41.437067,SQLC2Q31,NULLID  ,,S,1,201,3,3,SARG      ,   ,LE,N,+3.85905802249908E-001,(Q1.CS_EXT_LIST_PRICE <= +02592.80),,255,,,
SHAIKHQ ,2024-05-30-08.16.41.437067,SQLC2Q31,NULLID  ,,S,1,201,3,4,SARG      ,   ,LE,N,+9.00645017623901E-001,(Q1.CS_BILL_HDEMO_SK <= 6473),,255,,,
SHAIKHQ ,2024-05-30-08.16.46.605880,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.WS_SHIP_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.16.46.605880,SQLC2Q31,NULLID  ,,S,1,201,3,3,SARG      ,   ,LE,N,+9.99767839908600E-001,(Q1.WS_SALES_PRICE <= +00273.34),,255,,,
SHAIKHQ ,2024-05-30-08.16.46.605880,SQLC2Q31,NULLID  ,,S,1,201,3,4,SARG      ,   ,LE,N,+3.99900466203690E-001,(Q1.WS_WAREHOUSE_SK <= 2),,255,,,
SHAIKHQ ,2024-05-30-08.16.47.808299,SQLC2Q31,NULLID  ,,S,1,201,2,3,JOIN      ,   ,EQ,N,+2.83600820694119E-005,(Q2.D_DATE_SK = Q1.P_END_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.16.47.808299,SQLC2Q31,NULLID  ,,S,1,201,3,5,SARG      ,   ,LE,N,+1.29254430532455E-001,(Q1.P_END_DATE_SK <= 2450281),,255,,,
SHAIKHQ ,2024-05-30-08.16.47.808299,SQLC2Q31,NULLID  ,,S,1,201,4,4,SARG      ,   ,EQ,N,+3.90012189745903E-002,(Q2.D_DOM = 7),,255,,,
SHAIKHQ ,2024-05-30-08.16.47.808299,SQLC2Q31,NULLID  ,,S,1,201,5,3,START     ,   ,EQ,N,+2.83600820694119E-005,(Q2.D_DATE_SK = Q1.P_END_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.16.47.808299,SQLC2Q31,NULLID  ,,S,1,201,5,2,SARG      ,   ,LE,N,+4.82701033353806E-001,(Q2.D_DATE_SK <= 2450281),,255,,,
SHAIKHQ ,2024-05-30-08.16.47.808299,SQLC2Q31,NULLID  ,,S,1,201,5,3,STOP      ,   ,EQ,N,+2.83600820694119E-005,(Q2.D_DATE_SK = Q1.P_END_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.16.48.945099,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.36894414026756E-005,(Q2.WEB_CLOSE_DATE_SK = Q1.D_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.16.48.945099,SQLC2Q31,NULLID  ,,S,1,201,3,4,SARG      ,   ,LE,N,+3.33333343267441E-001,(Q2.WEB_TAX_PERCENTAGE <= +000.04),,255,,,
SHAIKHQ ,2024-05-30-08.16.48.945099,SQLC2Q31,NULLID  ,,S,1,201,5,3,SARG      ,   ,LE,N,+7.38683521747589E-001,(Q1.D_FIRST_DOM <= 2469928),,255,,,
SHAIKHQ ,2024-05-30-08.16.48.945099,SQLC2Q31,NULLID  ,,S,1,201,6,2,START     ,   ,EQ,N,+1.36894414026756E-005,(Q2.WEB_CLOSE_DATE_SK = Q1.D_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.16.48.945099,SQLC2Q31,NULLID  ,,S,1,201,6,2,STOP      ,   ,EQ,N,+1.36894414026756E-005,(Q2.WEB_CLOSE_DATE_SK = Q1.D_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.16.50.151134,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.WP_ACCESS_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.16.50.151134,SQLC2Q31,NULLID  ,,S,1,201,3,3,SARG      ,   ,LE,N,+3.49999994039536E-001,(1898 <= Q1.WP_CUSTOMER_SK),,255,,,
SHAIKHQ ,2024-05-30-08.16.50.151134,SQLC2Q31,NULLID  ,,S,1,201,5,4,SARG      ,   ,LE,N,+7.62625575065613E-001,(Q2.D_QUARTER_SEQ <= 620),,255,,,
SHAIKHQ ,2024-05-30-08.16.50.151134,SQLC2Q31,NULLID  ,,S,1,201,6,2,START     ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.WP_ACCESS_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.16.50.151134,SQLC2Q31,NULLID  ,,S,1,201,6,2,STOP      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.WP_ACCESS_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.16.51.240800,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.S_CLOSED_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.16.51.240800,SQLC2Q31,NULLID  ,,S,1,201,3,3,SARG      ,   ,EQ,N,+1.00000000000000E+000,(Q1.S_GMT_OFFSET = -005.00),,255,,,
SHAIKHQ ,2024-05-30-08.16.51.240800,SQLC2Q31,NULLID  ,,S,1,201,3,4,SARG      ,   ,LE,N,+3.33333313465118E-001,(1 <= Q1.S_COMPANY_ID),,255,,,
SHAIKHQ ,2024-05-30-08.16.51.240800,SQLC2Q31,NULLID  ,,S,1,201,6,2,START     ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.S_CLOSED_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.16.51.240800,SQLC2Q31,NULLID  ,,S,1,201,6,2,STOP      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.S_CLOSED_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.16.52.283196,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.P_END_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.16.52.283196,SQLC2Q31,NULLID  ,,S,1,201,3,3,SARG      ,   ,LE,N,+6.06360472738743E-002,(Q1.P_START_DATE_SK <= 2450177),,255,,,
SHAIKHQ ,2024-05-30-08.16.52.283196,SQLC2Q31,NULLID  ,,S,1,201,4,4,SARG      ,   ,LE,N,+9.83841598033905E-001,(2414988 <= Q2.D_SAME_DAY_LQ),,255,,,
SHAIKHQ ,2024-05-30-08.16.52.283196,SQLC2Q31,NULLID  ,,S,1,201,5,2,START     ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.P_END_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.16.52.283196,SQLC2Q31,NULLID  ,,S,1,201,5,2,STOP      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.P_END_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.17.04.144981,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.CS_SHIP_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.17.04.144981,SQLC2Q31,NULLID  ,,S,1,201,3,3,SARG      ,   ,LE,N,+9.77888822555542E-001,(+00000.00 <= Q1.CS_EXT_SHIP_COST),,255,,,
SHAIKHQ ,2024-05-30-08.17.04.144981,SQLC2Q31,NULLID  ,,S,1,201,3,4,SARG      ,   ,LE,N,+5.67650437355042E-001,(Q1.CS_WHOLESALE_COST <= +00058.98),,255,,,
SHAIKHQ ,2024-05-30-08.17.05.609356,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.CS_SHIP_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.17.05.609356,SQLC2Q31,NULLID  ,,S,1,201,3,3,SARG      ,   ,EQ,N,+2.49545746555668E-006,(Q1.CS_EXT_DISCOUNT_AMT = +00285.89),,255,,,
SHAIKHQ ,2024-05-30-08.17.05.609356,SQLC2Q31,NULLID  ,,S,1,201,3,4,SARG      ,   ,LE,N,+1.62920966744423E-001,(Q1.CS_NET_PAID_INC_SHIP <= +00398.86),,255,,,
SHAIKHQ ,2024-05-30-08.17.05.609356,SQLC2Q31,NULLID  ,,S,1,201,5,2,START     ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.CS_SHIP_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.17.05.609356,SQLC2Q31,NULLID  ,,S,1,201,5,2,STOP      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.CS_SHIP_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.17.07.664614,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.WS_SHIP_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.17.07.664614,SQLC2Q31,NULLID  ,,S,1,201,4,3,SARG      ,   ,LE,N,+2.76378303766251E-001,(Q1.WS_ITEM_SK <= 4861),,255,,,
SHAIKHQ ,2024-05-30-08.17.07.664614,SQLC2Q31,NULLID  ,,S,1,201,4,4,SARG      ,   ,LE,N,+2.84165680408478E-001,(Q1.WS_ORDER_NUMBER <= 17341),,255,,,
SHAIKHQ ,2024-05-30-08.17.07.664614,SQLC2Q31,NULLID  ,,S,1,201,7,-1,GAP_START ,   ,  ,N,-1.00000000000000E+000,Positioning predicate,,1,,,
SHAIKHQ ,2024-05-30-08.17.07.664614,SQLC2Q31,NULLID  ,,S,1,201,7,3,GAP_STOP  ,   ,LE,N,+2.76378303766251E-001,(Q1.WS_ITEM_SK <= 4861),,1,,,
SHAIKHQ ,2024-05-30-08.17.07.664614,SQLC2Q31,NULLID  ,,S,1,201,7,4,STOP      ,   ,LE,N,+2.84165680408478E-001,(Q1.WS_ORDER_NUMBER <= 17341),,2,,,
SHAIKHQ ,2024-05-30-08.17.07.664614,SQLC2Q31,NULLID  ,,S,1,201,7,-1,START     ,   ,  ,N,-1.00000000000000E+000,Non-Positioning predicate,,2,,,
SHAIKHQ ,2024-05-30-08.17.08.944737,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.CS_SHIP_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.17.08.944737,SQLC2Q31,NULLID  ,,S,1,201,3,3,SARG      ,   ,EQ,N,+5.00000023748726E-004,(Q1.CS_BILL_CDEMO_SK = 1011588),,255,,,
SHAIKHQ ,2024-05-30-08.17.08.944737,SQLC2Q31,NULLID  ,,S,1,201,3,4,SARG      ,   ,LE,N,+9.94938194751740E-001,(Q1.CS_COUPON_AMT <= +15288.67),,255,,,
SHAIKHQ ,2024-05-30-08.17.08.944737,SQLC2Q31,NULLID  ,,S,1,201,5,2,START     ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.CS_SHIP_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.17.08.944737,SQLC2Q31,NULLID  ,,S,1,201,5,2,STOP      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.CS_SHIP_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.17.10.095768,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.C_FIRST_SHIPTO_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.17.10.095768,SQLC2Q31,NULLID  ,,S,1,201,3,3,SARG      ,   ,EQ,N,+1.33074996992946E-002,(Q1.C_BIRTH_YEAR = 1927),,255,,,
SHAIKHQ ,2024-05-30-08.17.10.095768,SQLC2Q31,NULLID  ,,S,1,201,3,4,SARG      ,   ,LE,N,+6.39186859130859E-001,(2342 <= Q1.C_CURRENT_HDEMO_SK),,255,,,
SHAIKHQ ,2024-05-30-08.17.10.095768,SQLC2Q31,NULLID  ,,S,1,201,4,2,START     ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.C_FIRST_SHIPTO_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.17.10.095768,SQLC2Q31,NULLID  ,,S,1,201,4,2,STOP      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.C_FIRST_SHIPTO_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.17.11.240888,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.36894414026756E-005,(Q2.P_END_DATE_SK = Q1.D_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.17.11.240888,SQLC2Q31,NULLID  ,,S,1,201,3,3,SARG      ,   ,LE,N,+1.91755771636963E-001,(2450745 <= Q2.P_START_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.17.11.240888,SQLC2Q31,NULLID  ,,S,1,201,4,4,SARG      ,   ,LE,N,+5.19407570362091E-001,(Q1.D_SAME_DAY_LY <= 2453984),,255,,,
SHAIKHQ ,2024-05-30-08.17.11.240888,SQLC2Q31,NULLID  ,,S,1,201,5,2,START     ,   ,EQ,N,+1.36894414026756E-005,(Q2.P_END_DATE_SK = Q1.D_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.17.11.240888,SQLC2Q31,NULLID  ,,S,1,201,5,2,STOP      ,   ,EQ,N,+1.36894414026756E-005,(Q2.P_END_DATE_SK = Q1.D_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.17.12.442296,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.P_END_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.17.12.442296,SQLC2Q31,NULLID  ,,S,1,201,3,4,SARG      ,   ,EQ,N,+6.66666682809591E-003,(Q1.P_START_DATE_SK = 2450299),,255,,,
SHAIKHQ ,2024-05-30-08.17.12.442296,SQLC2Q31,NULLID  ,,S,1,201,4,3,SARG      ,   ,LE,N,+9.83844578266144E-001,(1900 <= Q2.D_YEAR),,255,,,
SHAIKHQ ,2024-05-30-08.17.12.442296,SQLC2Q31,NULLID  ,,S,1,201,5,2,START     ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.P_END_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.17.12.442296,SQLC2Q31,NULLID  ,,S,1,201,5,2,STOP      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.P_END_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.17.13.777854,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.CS_SHIP_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.17.13.777854,SQLC2Q31,NULLID  ,,S,1,201,3,3,SARG      ,   ,EQ,N,+5.00000023748726E-004,(Q1.CS_LIST_PRICE = +00047.97),,255,,,
SHAIKHQ ,2024-05-30-08.17.13.777854,SQLC2Q31,NULLID  ,,S,1,201,4,4,SARG      ,   ,LE,N,+6.41683757305145E-001,(5 <= Q2.D_MOY),,255,,,
SHAIKHQ ,2024-05-30-08.17.13.777854,SQLC2Q31,NULLID  ,,S,1,201,5,2,START     ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.CS_SHIP_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.17.13.777854,SQLC2Q31,NULLID  ,,S,1,201,5,2,STOP      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.CS_SHIP_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.17.14.922733,SQLC2Q31,NULLID  ,,S,1,201,2,3,JOIN      ,   ,EQ,N,+3.12913762172684E-005,(Q2.D_DATE_SK = Q1.WEB_CLOSE_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.17.14.922733,SQLC2Q31,NULLID  ,,S,1,201,3,4,SARG      ,   ,LE,N,+1.66666671633720E-001,(Q1.WEB_CLOSE_DATE_SK <= 2446978),,255,,,
SHAIKHQ ,2024-05-30-08.17.14.922733,SQLC2Q31,NULLID  ,,S,1,201,3,5,SARG      ,   ,LE,N,+8.43700349330902E-001,(2 <= Q1.WEB_COMPANY_ID),,255,,,
SHAIKHQ ,2024-05-30-08.17.14.922733,SQLC2Q31,NULLID  ,,S,1,201,6,3,START     ,   ,EQ,N,+3.12913762172684E-005,(Q2.D_DATE_SK = Q1.WEB_CLOSE_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.17.14.922733,SQLC2Q31,NULLID  ,,S,1,201,6,2,SARG      ,   ,LE,N,+4.37482893466949E-001,(Q2.D_DATE_SK <= 2446978),,255,,,
SHAIKHQ ,2024-05-30-08.17.14.922733,SQLC2Q31,NULLID  ,,S,1,201,6,3,STOP      ,   ,EQ,N,+3.12913762172684E-005,(Q2.D_DATE_SK = Q1.WEB_CLOSE_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.17.19.736953,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.CS_SHIP_DATE_SK),,255,,,
