EXPLAIN_REQUESTER,EXPLAIN_TIME,SOURCE_NAME,SOURCE_SCHEMA,SOURCE_VERSION,EXPLAIN_LEVEL,STMTNO,SECTNO,STREAM_ID,SOURCE_TYPE,SOURCE_ID,TARGET_TYPE,TARGET_ID,OBJECT_SCHEMA,OBJECT_NAME,STREAM_COUNT,COLUMN_COUNT,PREDICATE_ID,COLUMN_NAMES,PMID,SINGLE_NODE,PARTITION_COLUMNS,SEQUENCE_SIZES,OBJECT_TENANTID
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,9,D,-1,O,7,TPCDS   ,DATE_DIM2,+7.30490000000000E+004,1,-1,+Q2.D_SAME_DAY_LY,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,10,O,7,O,2,,,+1.00000000000000E+000,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,11,O,2,O,1,,,+3.00000000000000E+001,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.25.771665,SQLC2Q31,NULLID  ,,S,1,201,1,D,-1,O,4,SYSIBM  ,SQL240509072221830,+7.30490000000000E+004,2,-1,+Q2.$RID$+Q2.D_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.25.771665,SQLC2Q31,NULLID  ,,S,1,201,2,O,4,O,3,,,+1.00000000000000E+000,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.25.771665,SQLC2Q31,NULLID  ,,S,1,201,3,D,-1,O,3,TPCDS   ,DATE_DIM2,+7.30490000000000E+004,2,-1,+Q2.D_DOW+Q2.D_LAST_DOM,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.25.771665,SQLC2Q31,NULLID  ,,S,1,201,4,O,3,O,2,,,+1.00000000000000E+000,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.25.771665,SQLC2Q31,NULLID  ,,S,1,201,5,D,-1,O,5,TPCDS   ,CATALOG_PAGE,+1.17180000000000E+004,2,-1,+Q1.$RID$+Q1.CP_END_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.25.771665,SQLC2Q31,NULLID  ,,S,1,201,6,O,5,O,2,,,+1.11320999145508E+002,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.25.771665,SQLC2Q31,NULLID  ,,S,1,201,7,O,2,O,1,,,+1.11320999145508E+002,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.26.997895,SQLC2Q31,NULLID  ,,S,1,201,1,D,-1,O,3,TPCDS   ,CATALOG_PAGE,+1.17180000000000E+004,3,-1,+Q1.$RID$+Q1.CP_CATALOG_PAGE_SK+Q1.CP_END_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.26.997895,SQLC2Q31,NULLID  ,,S,1,201,2,O,3,O,2,,,+1.17180000000000E+004,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.26.997895,SQLC2Q31,NULLID  ,,S,1,201,3,D,-1,O,4,TPCDS   ,DATE_DIM2,+7.30490000000000E+004,5,-1,+Q2.$RID$+Q2.D_DOW+Q2.D_MOY+Q2.D_SAME_DAY_LY+Q2.D_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.26.997895,SQLC2Q31,NULLID  ,,S,1,201,4,O,4,O,2,,,+6.06300000000000E+003,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.26.997895,SQLC2Q31,NULLID  ,,S,1,201,5,O,2,O,1,,,+2.35987460937500E+004,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.29.218127,SQLC2Q31,NULLID  ,,S,1,201,1,D,-1,O,3,TPCDS   ,DATE_DIM2,+7.30490000000000E+004,2,-1,+Q2.$RID$+Q2.D_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.29.218127,SQLC2Q31,NULLID  ,,S,1,201,2,O,3,O,2,,,+7.30490000000000E+004,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.29.218127,SQLC2Q31,NULLID  ,,S,1,201,3,D,-1,O,4,TPCDS   ,CATALOG_SALES,+1.44154800000000E+006,5,-1,+Q1.$RID$+Q1.CS_BILL_ADDR_SK+Q1.CS_EXT_SALES_PRICE+Q1.CS_PROMO_SK+Q1.CS_SHIP_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.29.218127,SQLC2Q31,NULLID  ,,S,1,201,4,O,4,O,2,,,+1.68724687500000E+004,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.29.218127,SQLC2Q31,NULLID  ,,S,1,201,5,O,2,O,1,,,+2.05152363281250E+004,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.30.336768,SQLC2Q31,NULLID  ,,S,1,201,1,D,-1,O,4,SYSIBM  ,SQL240509064038920,+6.00000000000000E+001,1,-1,+Q1.$RID$,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.30.336768,SQLC2Q31,NULLID  ,,S,1,201,2,O,4,O,3,,,+6.00000000000000E+001,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.30.336768,SQLC2Q31,NULLID  ,,S,1,201,3,D,-1,O,3,TPCDS   ,WEB_PAGE,+6.00000000000000E+001,2,-1,+Q1.WP_CHAR_COUNT+Q1.WP_ACCESS_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.30.336768,SQLC2Q31,NULLID  ,,S,1,201,4,O,3,O,2,,,+6.00000000000000E+001,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.30.336768,SQLC2Q31,NULLID  ,,S,1,201,5,D,-1,O,6,SYSIBM  ,SQL240509072221830,+7.30490000000000E+004,2,-1,+Q2.D_DATE_SK(A)+Q2.$RID$,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.30.336768,SQLC2Q31,NULLID  ,,S,1,201,6,O,6,O,5,,,+1.00000000000000E+000,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.30.336768,SQLC2Q31,NULLID  ,,S,1,201,7,D,-1,O,5,TPCDS   ,DATE_DIM2,+7.30490000000000E+004,3,-1,+Q2.D_DOM+Q2.D_QUARTER_SEQ+Q2.D_WEEK_SEQ,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.30.336768,SQLC2Q31,NULLID  ,,S,1,201,8,O,5,O,2,,,+6.41111075878143E-001,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.30.336768,SQLC2Q31,NULLID  ,,S,1,201,9,O,2,O,1,,,+3.84666633605957E+001,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.32.104983,SQLC2Q31,NULLID  ,,S,1,201,1,D,-1,O,3,TPCDS   ,WEB_SALES,+7.19384000000000E+005,4,-1,+Q1.$RID$+Q1.WS_EXT_DISCOUNT_AMT+Q1.WS_EXT_SHIP_COST+Q1.WS_SHIP_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.32.104983,SQLC2Q31,NULLID  ,,S,1,201,2,O,3,O,2,,,+3.89867305755615E+000,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.32.104983,SQLC2Q31,NULLID  ,,S,1,201,3,D,-1,O,5,SYSIBM  ,SQL240509072221830,+7.30490000000000E+004,2,-1,+Q2.D_DATE_SK(A)+Q2.$RID$,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.32.104983,SQLC2Q31,NULLID  ,,S,1,201,4,O,5,O,4,,,+6.92670849609375E+003,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.32.104983,SQLC2Q31,NULLID  ,,S,1,201,5,D,-1,O,4,TPCDS   ,DATE_DIM2,+7.30490000000000E+004,2,-1,+Q2.D_YEAR+Q2.D_QOY,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.32.104983,SQLC2Q31,NULLID  ,,S,1,201,6,O,4,O,2,,,+3.61227343750000E+003,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.32.104983,SQLC2Q31,NULLID  ,,S,1,201,7,O,2,O,1,,,+1.40830732421875E+004,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.33.457497,SQLC2Q31,NULLID  ,,S,1,201,1,D,-1,O,4,SYSIBM  ,SQL240509064038920,+6.00000000000000E+001,2,-1,+Q1.WP_WEB_PAGE_SK(A)+Q1.$RID$,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.33.457497,SQLC2Q31,NULLID  ,,S,1,201,2,O,4,O,3,,,+7.00000000000000E+000,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.33.457497,SQLC2Q31,NULLID  ,,S,1,201,3,D,-1,O,3,TPCDS   ,WEB_PAGE,+6.00000000000000E+001,2,-1,+Q1.WP_CUSTOMER_SK+Q1.WP_ACCESS_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.33.457497,SQLC2Q31,NULLID  ,,S,1,201,4,O,3,O,2,,,+1.28333330154419E+000,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.33.457497,SQLC2Q31,NULLID  ,,S,1,201,5,D,-1,O,6,SYSIBM  ,SQL240509072221830,+7.30490000000000E+004,2,-1,+Q2.D_DATE_SK(A)+Q2.$RID$,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.33.457497,SQLC2Q31,NULLID  ,,S,1,201,6,O,6,O,5,,,+1.07664847373962E+000,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.33.457497,SQLC2Q31,NULLID  ,,S,1,201,7,D,-1,O,5,TPCDS   ,DATE_DIM2,+7.30490000000000E+004,1,-1,+Q2.D_WEEK_SEQ,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.33.457497,SQLC2Q31,NULLID  ,,S,1,201,8,O,5,O,2,,,+1.07664847373962E+000,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.33.457497,SQLC2Q31,NULLID  ,,S,1,201,9,O,2,O,1,,,+1.38169884681702E+000,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.41.437067,SQLC2Q31,NULLID  ,,S,1,201,1,D,-1,O,3,TPCDS   ,CATALOG_SALES,+1.44154800000000E+006,5,-1,+Q1.$RID$+Q1.CS_SHIP_CUSTOMER_SK+Q1.CS_EXT_LIST_PRICE+Q1.CS_BILL_HDEMO_SK+Q1.CS_SHIP_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.41.437067,SQLC2Q31,NULLID  ,,S,1,201,2,O,3,O,2,,,+5.01030375000000E+005,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.41.437067,SQLC2Q31,NULLID  ,,S,1,201,3,D,-1,O,4,TPCDS   ,DATE_DIM2,+7.30490000000000E+004,3,-1,+Q2.$RID$+Q2.D_FY_QUARTER_SEQ+Q2.D_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.41.437067,SQLC2Q31,NULLID  ,,S,1,201,4,O,4,O,2,,,+7.30490000000000E+004,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.41.437067,SQLC2Q31,NULLID  ,,S,1,201,5,O,2,O,1,,,+5.01030375000000E+005,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.46.605880,SQLC2Q31,NULLID  ,,S,1,201,1,D,-1,O,3,TPCDS   ,WEB_SALES,+7.19384000000000E+005,5,-1,+Q1.$RID$+Q1.WS_EXT_WHOLESALE_COST+Q1.WS_SALES_PRICE+Q1.WS_WAREHOUSE_SK+Q1.WS_SHIP_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.46.605880,SQLC2Q31,NULLID  ,,S,1,201,2,O,3,O,2,,,+2.87615218750000E+005,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.46.605880,SQLC2Q31,NULLID  ,,S,1,201,3,D,-1,O,4,TPCDS   ,DATE_DIM2,+7.30490000000000E+004,3,-1,+Q2.$RID$+Q2.D_FY_QUARTER_SEQ+Q2.D_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.46.605880,SQLC2Q31,NULLID  ,,S,1,201,4,O,4,O,2,,,+7.30490000000000E+004,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.46.605880,SQLC2Q31,NULLID  ,,S,1,201,5,O,2,O,1,,,+2.87615218750000E+005,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.47.808299,SQLC2Q31,NULLID  ,,S,1,201,1,D,-1,O,3,TPCDS   ,PROMOTION,+3.00000000000000E+002,3,-1,+Q1.$RID$+Q1.P_RESPONSE_TARGET+Q1.P_END_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.47.808299,SQLC2Q31,NULLID  ,,S,1,201,2,O,3,O,2,,,+3.87763290405273E+001,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.47.808299,SQLC2Q31,NULLID  ,,S,1,201,3,D,-1,O,5,SYSIBM  ,SQL240509072221830,+7.30490000000000E+004,2,-1,+Q2.D_DATE_SK(A)+Q2.$RID$,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.47.808299,SQLC2Q31,NULLID  ,,S,1,201,4,O,5,O,4,,,+1.90794494628906E+002,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.47.808299,SQLC2Q31,NULLID  ,,S,1,201,5,D,-1,O,4,TPCDS   ,DATE_DIM2,+7.30490000000000E+004,2,-1,+Q2.D_SAME_DAY_LQ+Q2.D_DOM,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.47.808299,SQLC2Q31,NULLID  ,,S,1,201,6,O,4,O,2,,,+7.44121789932251E+000,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.47.808299,SQLC2Q31,NULLID  ,,S,1,201,7,O,2,O,1,,,+2.88543121337891E+002,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.48.945099,SQLC2Q31,NULLID  ,,S,1,201,1,D,-1,O,4,SYSIBM  ,SQL240509064036550,+3.00000000000000E+001,1,-1,+Q2.$RID$,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.48.945099,SQLC2Q31,NULLID  ,,S,1,201,2,O,4,O,3,,,+3.00000000000000E+001,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.48.945099,SQLC2Q31,NULLID  ,,S,1,201,3,D,-1,O,3,TPCDS   ,WEB_SITE,+3.00000000000000E+001,3,-1,+Q2.WEB_COMPANY_ID+Q2.WEB_TAX_PERCENTAGE+Q2.WEB_CLOSE_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.48.945099,SQLC2Q31,NULLID  ,,S,1,201,4,O,3,O,2,,,+1.00000000000000E+001,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.48.945099,SQLC2Q31,NULLID  ,,S,1,201,5,D,-1,O,6,SYSIBM  ,SQL240509072221830,+7.30490000000000E+004,2,-1,+Q1.D_DATE_SK(A)+Q1.$RID$,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.48.945099,SQLC2Q31,NULLID  ,,S,1,201,6,O,6,O,5,,,+1.00000000000000E+000,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.48.945099,SQLC2Q31,NULLID  ,,S,1,201,7,D,-1,O,5,TPCDS   ,DATE_DIM2,+7.30490000000000E+004,2,-1,+Q1.D_DOM+Q1.D_FIRST_DOM,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.48.945099,SQLC2Q31,NULLID  ,,S,1,201,8,O,5,O,2,,,+7.38683521747589E-001,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.48.945099,SQLC2Q31,NULLID  ,,S,1,201,9,O,2,O,1,,,+7.38683509826660E+000,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.50.151134,SQLC2Q31,NULLID  ,,S,1,201,1,D,-1,O,4,SYSIBM  ,SQL240509064038920,+6.00000000000000E+001,1,-1,+Q1.$RID$,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.50.151134,SQLC2Q31,NULLID  ,,S,1,201,2,O,4,O,3,,,+6.00000000000000E+001,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.50.151134,SQLC2Q31,NULLID  ,,S,1,201,3,D,-1,O,3,TPCDS   ,WEB_PAGE,+6.00000000000000E+001,3,-1,+Q1.WP_IMAGE_COUNT+Q1.WP_CUSTOMER_SK+Q1.WP_ACCESS_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.50.151134,SQLC2Q31,NULLID  ,,S,1,201,4,O,3,O,2,,,+2.10000000000000E+001,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.50.151134,SQLC2Q31,NULLID  ,,S,1,201,5,D,-1,O,6,SYSIBM  ,SQL240509072221830,+7.30490000000000E+004,2,-1,+Q2.D_DATE_SK(A)+Q2.$RID$,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.50.151134,SQLC2Q31,NULLID  ,,S,1,201,6,O,6,O,5,,,+1.00000000000000E+000,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.50.151134,SQLC2Q31,NULLID  ,,S,1,201,7,D,-1,O,5,TPCDS   ,DATE_DIM2,+7.30490000000000E+004,2,-1,+Q2.D_YEAR+Q2.D_QUARTER_SEQ,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.50.151134,SQLC2Q31,NULLID  ,,S,1,201,8,O,5,O,2,,,+7.62625575065613E-001,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.50.151134,SQLC2Q31,NULLID  ,,S,1,201,9,O,2,O,1,,,+1.60151367187500E+001,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.51.240800,SQLC2Q31,NULLID  ,,S,1,201,1,D,-1,O,4,SYSIBM  ,SQL240509064035430,+1.20000000000000E+001,1,-1,+Q1.$RID$,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.51.240800,SQLC2Q31,NULLID  ,,S,1,201,2,O,4,O,3,,,+1.20000000000000E+001,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.51.240800,SQLC2Q31,NULLID  ,,S,1,201,3,D,-1,O,3,TPCDS   ,STORE,+1.20000000000000E+001,4,-1,+Q1.S_NUMBER_EMPLOYEES+Q1.S_GMT_OFFSET+Q1.S_COMPANY_ID+Q1.S_CLOSED_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.51.240800,SQLC2Q31,NULLID  ,,S,1,201,4,O,3,O,2,,,+3.99999976158142E+000,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.51.240800,SQLC2Q31,NULLID  ,,S,1,201,5,D,-1,O,6,SYSIBM  ,SQL240509072221830,+7.30490000000000E+004,2,-1,+Q2.D_DATE_SK(A)+Q2.$RID$,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.51.240800,SQLC2Q31,NULLID  ,,S,1,201,6,O,6,O,5,,,+1.00000000000000E+000,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.51.240800,SQLC2Q31,NULLID  ,,S,1,201,7,D,-1,O,5,TPCDS   ,DATE_DIM2,+7.30490000000000E+004,1,-1,+Q2.D_DOW,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.51.240800,SQLC2Q31,NULLID  ,,S,1,201,8,O,5,O,2,,,+1.00000000000000E+000,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.51.240800,SQLC2Q31,NULLID  ,,S,1,201,9,O,2,O,1,,,+3.99999976158142E+000,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.52.283196,SQLC2Q31,NULLID  ,,S,1,201,1,D,-1,O,3,TPCDS   ,PROMOTION,+3.00000000000000E+002,3,-1,+Q1.$RID$+Q1.P_START_DATE_SK+Q1.P_END_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.52.283196,SQLC2Q31,NULLID  ,,S,1,201,2,O,3,O,2,,,+1.81908149719238E+001,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.52.283196,SQLC2Q31,NULLID  ,,S,1,201,3,D,-1,O,5,SYSIBM  ,SQL240509072221830,+7.30490000000000E+004,2,-1,+Q2.D_DATE_SK(A)+Q2.$RID$,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.52.283196,SQLC2Q31,NULLID  ,,S,1,201,4,O,5,O,4,,,+1.00000000000000E+000,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.52.283196,SQLC2Q31,NULLID  ,,S,1,201,5,D,-1,O,4,TPCDS   ,DATE_DIM2,+7.30490000000000E+004,2,-1,+Q2.D_SAME_DAY_LY+Q2.D_SAME_DAY_LQ,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.52.283196,SQLC2Q31,NULLID  ,,S,1,201,6,O,4,O,2,,,+1.01423227787018E+000,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.52.283196,SQLC2Q31,NULLID  ,,S,1,201,7,O,2,O,1,,,+1.84497108459473E+001,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.17.04.144981,SQLC2Q31,NULLID  ,,S,1,201,1,D,-1,O,3,TPCDS   ,CATALOG_SALES,+1.44154800000000E+006,5,-1,+Q1.$RID$+Q1.CS_BILL_CDEMO_SK+Q1.CS_EXT_SHIP_COST+Q1.CS_WHOLESALE_COST+Q1.CS_SHIP_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.17.04.144981,SQLC2Q31,NULLID  ,,S,1,201,2,O,3,O,2,,,+8.18736625000000E+005,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.17.04.144981,SQLC2Q31,NULLID  ,,S,1,201,3,D,-1,O,4,TPCDS   ,DATE_DIM2,+7.30490000000000E+004,3,-1,+Q2.$RID$+Q2.D_DOM+Q2.D_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.17.04.144981,SQLC2Q31,NULLID  ,,S,1,201,4,O,4,O,2,,,+7.30490000000000E+004,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.17.04.144981,SQLC2Q31,NULLID  ,,S,1,201,5,O,2,O,1,,,+8.18736625000000E+005,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.17.05.609356,SQLC2Q31,NULLID  ,,S,1,201,1,D,-1,O,3,TPCDS   ,CATALOG_SALES,+1.44154800000000E+006,5,-1,+Q1.$RID$+Q1.CS_EXT_LIST_PRICE+Q1.CS_EXT_DISCOUNT_AMT+Q1.CS_NET_PAID_INC_SHIP+Q1.CS_SHIP_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.17.05.609356,SQLC2Q31,NULLID  ,,S,1,201,2,O,3,O,2,,,+3.59732174873352E+000,-1,-1,,0,,,,
